Call_1,Score_1,Call_2,Score_2,Call_3,Score_3,Call_4,Score_4,Final Call
0,2.85,0,5.391304348,1,6.142857143,0,4.785714286,0
1,8.291666667,0,6.086956522,1,6.68,1,7.1,1
1,6.8,0,3.684210526,0,4.142857143,0,3.153846154,0
1,7.8,0,4.157894737,0,5.65,1,7.235294118,0
1,6.7,1,6.75,0,6,0,4.333333333,0
0,5.666666667,0,4.875,0,4.2,0,4.45,0
0,4.3125,0,4.178571429,1,6.65,0,5.25,0
0,5.380952381,1,5.933333333,0,4.384615385,1,6,0
0,4,1,6,0,3.666666667,0,6.0625,0
0,3.857142857,1,9,0,3.35,0,5.666666667,0
0,3.55,1,7.05,0,4.958333333,1,5.72,0
0,3.75,0,5.5,1,5.678571429,0,5,0
0,3.4,0,5.035714286,1,7.875,0,5.2,0
1,8,0,5.35,1,7.466666667,0,6,0
0,5.142857143,1,6.571428571,1,8.444444444,0,2.588235294,0
1,7.107142857,0,5.2,1,7.428571429,0,5.392857143,0
0,3.176470588,0,2.578947368,1,7.48,0,5,0
0,5.368421053,0,3.230769231,1,6.785714286,1,6.444444444,0
1,6,0,4.625,1,6.125,1,7.058823529,1
0,5.68,0,5,0,5.785714286,1,6.416666667,0
1,9,1,5.95,0,3.8,0,4.35,0
0,3.565217391,0,3.3125,1,7.125,0,6.071428571,0
1,6.647058824,0,5.333333333,0,5.642857143,1,5.76,0
0,3.533333333,1,7.3,0,2.875,0,2.739130435,0
1,6.833333333,1,7,0,5.2,0,5.107142857,0
1,5.52173913,0,6.052631579,0,5.214285714,1,5.9375,0
1,7.75,1,6.25,0,5.384615385,1,6.294117647,1
0,4.47826087,1,5.535714286,0,5.714285714,1,5.913043478,0
0,4.107142857,1,5.875,0,5,0,5.44,0
0,3.666666667,0,5.291666667,0,3.75,0,3.375,0
0,3,0,5.066666667,0,5.105263158,0,3,0
0,5.210526316,1,8,0,4,1,7.058823529,0
0,4.533333333,1,7.2,0,6,1,6.84,0
0,3,0,2.2,0,5.4,0,3,0
