Problem Solving,Design,CS Skills,Test Enumeration,Communication,intervieweeId,interviewerId,Score,Interviewer Call,Final Call
7,3,-1,2,3,1,51,4.217391304,0,0
-1,4,7,-1,3,1,67,4.75,0,0
8,9,-1,9,6,1,77,8.260869565,1,0
5,2,5,9,2,1,7,4.392857143,0,0
3,3,2,6,-1,2,39,3.28,0,0
5,4,3,-1,6,2,8,4.375,0,0
3,9,7,9,-1,2,54,6.68,1,0
-1,-1,5,7,-1,2,23,5.888888889,1,0
-1,2,9,-1,5,3,99,4.75,0,0
3,-1,7,-1,9,3,80,5.375,0,0
-1,-1,5,6,5,3,62,5.333333333,0,0
6,2,-1,-1,-1,3,42,4,0,0
5,3,5,-1,-1,4,98,4.238095238,0,0
4,7,-1,7,-1,4,17,5.8,1,0
-1,-1,9,3,4,4,2,5.75,0,0
3,-1,6,5,7,4,24,4.75,0,0
-1,7,4,5,-1,5,1,5.647058824,0,0
7,3,8,9,-1,5,45,6.24,1,0
3,4,-1,-1,-1,5,80,3.5,0,0
7,3,8,-1,5,5,3,5.625,0,0
6,4,2,-1,2,6,62,4,0,0
8,-1,2,3,2,6,49,4.6,0,0
6,-1,-1,3,-1,6,6,5,0,0
4,7,4,6,-1,6,99,5.28,0,0
2,-1,-1,7,9,7,80,4.733333333,0,0
3,-1,6,6,4,7,90,4.5,0,0
-1,-1,-1,7,-1,7,28,7,1,0
8,3,-1,9,5,7,43,6.043478261,1,0
-1,9,8,7,9,8,79,8.35,1,0
8,-1,6,5,-1,8,26,6.705882353,1,0
3,5,4,9,8,8,51,5.142857143,0,0
5,7,3,4,6,8,13,5.178571429,0,0
-1,9,-1,9,5,9,48,8.2,1,1
9,4,5,8,2,9,78,5.964285714,1,1
5,2,4,-1,-1,9,52,3.619047619,0,1
4,8,-1,-1,-1,9,60,6,1,1
-1,-1,6,-1,-1,10,24,6,1,0
8,-1,2,-1,-1,10,29,5.692307692,0,0
5,-1,7,5,8,10,89,5.95,1,0
2,6,-1,3,3,10,69,3.695652174,0,0
6,4,-1,-1,3,11,57,4.684210526,0,0
-1,4,-1,-1,8,11,30,5.090909091,0,0
9,-1,-1,3,7,11,93,7,1,0
9,5,2,2,9,11,60,5.607142857,0,0
-1,5,3,9,4,12,75,5.15,0,0
6,3,7,-1,3,12,49,4.833333333,0,0
9,7,4,-1,-1,12,74,7.047619048,1,0
9,3,7,-1,3,12,99,5.833333333,1,0
6,9,8,9,9,13,8,7.964285714,1,0
6,-1,2,9,-1,13,85,5.529411765,0,0
-1,2,5,-1,-1,13,78,3.153846154,0,0
-1,4,8,-1,-1,13,68,5.538461538,0,0
6,6,2,-1,4,14,76,4.916666667,0,0
6,5,5,5,-1,14,79,5.32,0,0
2,8,5,2,9,14,84,5,0,0
-1,8,2,-1,8,14,36,6.125,1,0
7,4,6,3,-1,15,64,5.2,0,0
9,9,8,5,-1,15,9,8.16,1,0
-1,-1,5,2,2,15,18,3.25,0,0
